SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Discharge.start;Discharge.end;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;Water_Level.start;Water_Level.end
118;Incisa Monte;TOS01004589;OD:TOS01004589;43.688196;11.456561;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998;2007
119;Incisa Valle;TOS01004591;OD:TOS01004591;43.691696;11.456679;NA;NA;Toscana;NA;2002;2013;2000;2015;NA;NA;NA;NA;1998;2015
120;Bilancino;TOS01004611;OD:TOS01004611;43.978906;11.288958;NA;NA;Toscana;NA;1965;1995;NA;NA;NA;NA;NA;NA;1998;2015
121;S. Piero a Sieve-Sieve;TOS01004621;OD:TOS01004621;43.96699;11.329263;NA;NA;Toscana;NA;2006;2013;1991;2015;NA;NA;NA;NA;1998;2015
122;S. Piero a Sieve-Carza;TOS01004623;OD:TOS01004623;43.960834;11.323388;NA;NA;Toscana;NA;2006;2013;NA;NA;NA;NA;NA;NA;2002;2015
123;Dicomano;TOS01004625;OD:TOS01004625;43.885481;11.527499;NA;NA;Toscana;NA;1995;2013;NA;NA;NA;NA;NA;NA;1998;2015
124;Fornacina;TOS01004641;OD:TOS01004641;43.803025;11.468785;NA;NA;Toscana;NA;1940;2005;NA;NA;NA;NA;NA;NA;1998;2015
125;Fornacina 2 ul;TOS01004642;OD:TOS01004642;43.803025;11.468785;NA;NA;Toscana;NA;2008;2015;NA;NA;NA;NA;NA;NA;1998;2015
126;Nave di Rosano;TOS01004659;OD:TOS01004659;43.773255;11.421897;NA;NA;Toscana;NA;1940;2015;1993;2015;NA;NA;NA;NA;1998;2015
127;Nave Rosano valle;TOS01004661;OD:TOS01004661;43.774395;11.416489;NA;NA;Toscana;NA;1946;1996;NA;NA;NA;NA;NA;NA;1998;2015
128;Firenze Uffizi;TOS01004679;OD:TOS01004679;43.769726;11.255615;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998;2015
129;Firenze Uffizi 3;TOS01004683;OD:TOS01004683;43.769551;11.25536;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004;2015
130;Ponte alle Mosse;TOS01004702;OD:TOS01004702;43.78875;11.227683;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;2003;2015
131;Greve;TOS01004705;OD:TOS01004705;43.586744;11.316808;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998;2015
132;Tavarnuzze;TOS01004723;OD:TOS01004723;43.71248;11.217966;NA;NA;Toscana;NA;1997;2008;NA;NA;NA;NA;NA;NA;1998;2015
133;Strada in Chianti;TOS01004725;OD:TOS01004725;43.665899;11.315771;NA;NA;Toscana;NA;NA;NA;1996;2015;NA;NA;NA;NA;1998;2015
134;Scandicci;TOS01004731;OD:TOS01004731;43.754729;11.193523;NA;NA;Toscana;NA;2004;2013;NA;NA;NA;NA;NA;NA;2002;2015
135;Vaiano Gamberame;TOS01004779;OD:TOS01004779;43.924691;11.128141;NA;NA;Toscana;NA;2000;2014;2000;2015;NA;NA;NA;NA;1998;2015
136;Prato;TOS01004782;OD:TOS01004782;43.879033;11.107831;NA;NA;Toscana;NA;2004;2013;NA;NA;NA;NA;NA;NA;2001;2015
137;Calenzano;TOS01004784;OD:TOS01004784;43.870227;11.156618;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;2004;2015
138;S. Piero a Ponti;TOS01004791;OD:TOS01004791;43.805318;11.131803;NA;NA;Toscana;NA;1992;2015;NA;NA;NA;NA;NA;NA;1998;2015
139;Sesto Fiorentino;TOS01004795;OD:TOS01004795;43.823151;11.193298;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998;2015
140;Ponte a Signa;TOS01004811;OD:TOS01004811;43.772686;11.096958;NA;NA;Toscana;NA;2002;2013;2010;2015;NA;NA;NA;NA;2001;2015
141;Pontelungo;TOS01004837;OD:TOS01004837;43.922766;10.893629;NA;NA;Toscana;NA;2009;2013;1996;2015;2000;2015;2000;2015;1998;2015
142;Poggio a Caiano;TOS01004875;OD:TOS01004875;43.814591;11.061444;NA;NA;Toscana;NA;1992;2015;NA;NA;NA;NA;NA;NA;1998;2015
143;Montelupo;TOS01004901;OD:TOS01004901;43.762396;11.049752;NA;NA;Toscana;NA;2004;2013;NA;NA;NA;NA;NA;NA;1998;2015
144;Montespertoli;TOS01004915;OD:TOS01004915;43.618974;11.133471;NA;NA;Toscana;NA;NA;NA;2001;2015;2008;2015;2008;2015;2010;2015
145;Turbone;TOS01004921;OD:TOS01004921;43.718586;11.035944;NA;NA;Toscana;NA;2004;2013;2000;2015;NA;NA;NA;NA;2001;2015
146;Empoli;TOS01004941;OD:TOS01004941;43.725925;10.947135;NA;NA;Toscana;NA;2008;2008;2000;2015;2001;2015;2001;2015;2001;2015
147;Poggibonsi;TOS01004965;OD:TOS01004965;43.47162;11.129404;NA;NA;Toscana;NA;NA;NA;1933;2015;NA;NA;NA;NA;1998;2015
148;Certaldo;TOS01004967;OD:TOS01004967;43.546531;11.035636;NA;NA;Toscana;NA;NA;NA;2004;2015;NA;NA;NA;NA;2002;2015
149;Castelfiorentino;TOS01004971;OD:TOS01004971;43.604146;10.97041;NA;NA;Toscana;NA;1940;2015;2000;2015;NA;NA;NA;NA;1998;2015
150;Ponte a Elsa;TOS01004981;OD:TOS01004981;43.691302;10.893799;NA;NA;Toscana;NA;2004;2006;NA;NA;NA;NA;NA;NA;2001;2015
151;Fucecchio monte;TOS01004999;OD:TOS01004999;43.717981;10.817798;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998;2007
152;Fucecchio valle;TOS01005001;OD:TOS01005001;43.721242;10.813141;NA;NA;Toscana;NA;2004;2014;NA;NA;NA;NA;NA;NA;1998;2015
153;Fornacino;TOS01005005;OD:TOS01005005;43.633007;10.850613;NA;NA;Toscana;NA;2004;2013;1994;2015;NA;NA;NA;NA;1998;2015
154;Cateratte monte;TOS01005101;OD:TOS01005101;43.683753;10.650151;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;2001;2015
155;Molino d'Era;TOS01005115;OD:TOS01005115;43.457309;10.829027;NA;NA;Toscana;NA;2006;2012;2000;2015;NA;NA;NA;NA;2001;2015
156;Capannoli;TOS01005131;OD:TOS01005131;43.582027;10.687166;NA;NA;Toscana;NA;1963;2014;1994;2015;NA;NA;NA;NA;1998;2015
157;Forcoli;TOS01005135;OD:TOS01005135;43.602568;10.697733;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;2010;2015
158;Ponsacco;TOS01005151;OD:TOS01005151;43.619813;10.634122;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;2008;2015
159;Belvedere;TOS01005161;OD:TOS01005161;43.640013;10.63761;NA;NA;Toscana;NA;2004;2006;NA;NA;NA;NA;NA;NA;2004;2015
160;Pontedera;TOS01005181;OD:TOS01005181;43.665334;10.631241;NA;NA;Toscana;NA;2006;2013;1996;2015;2000;2015;2000;2015;1998;2015
161;S. Giovanni alla Vena monte;TOS01005189;OD:TOS01005189;43.682914;10.596383;NA;NA;Toscana;NA;1995;1995;1996;2007;NA;NA;NA;NA;1998;2005
162;S. Giovanni alla Vena valle;TOS01005191;OD:TOS01005191;43.6844;10.585252;NA;NA;Toscana;NA;2001;2015;2000;2015;2008;2015;2008;2015;1998;2015
163;Pisa a Sostegno;TOS01005231;OD:TOS01005231;43.714634;10.391896;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;1998;2015
164;Bocca d'Arno;TOS01005251;OD:TOS01005251;43.680668;10.280322;NA;NA;Toscana;NA;NA;NA;2000;2015;2001;2015;2001;2015;1998;2015
165;Gello;TOS01005262;OD:TOS01005262;43.651727;10.58773;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;2002;2015
166;Stagno;TOS01005342;OD:TOS01005342;43.60002;10.352125;NA;NA;Toscana;NA;NA;NA;2000;2015;NA;NA;NA;NA;2001;2015
167;Castellina Marittima;TOS01005365;OD:TOS01005365;43.40611;10.492503;NA;NA;Toscana;NA;NA;NA;NA;NA;NA;NA;NA;NA;2004;2015
168;Masso degli Specchi;TOS01005372;OD:TOS01005372;43.301607;10.954284;NA;NA;Toscana;NA;2006;2013;NA;NA;NA;NA;NA;NA;2000;2015
169;Puretta;TOS01005373;OD:TOS01005373;43.304665;10.930118;NA;NA;Toscana;NA;2009;2013;2000;2015;NA;NA;NA;NA;2000;2015
